source,key,date_added,en,sv,da,de,es,fr,is,it,no,pl,zh
Source,Description,"Date Added",English,Swedish,Dansk,German,Spanish,French,Icelandic,Italian,Norwegian,Polish,Chinese
,"All Content",,"All My Content","Allt mitt innehåll","Alt indhold",,,,"Allar mínar skrár",,,,
,about,,About,Om,Om,Über,"Acerca de","À propos","Um forritið",Informazioni,Om,"O nas",关于
,access_request_failed,,"⚠️ Could not send access request. Please try again.","⚠️ Kunde inte skicka åtkomstförfrågan. Försök igen.","⚠️ Kunne ikke sende anmodning om adgang. Prøv igen.","⚠️ Zugriffsanfrage konnte nicht gesendet werden. Bitte versuche es erneut.","⚠️ No se pudo enviar la solicitud de acceso. Inténtalo de nuevo.","⚠️ Impossible d’envoyer la demande d’accès. Veuillez réessayer.",,"⚠️ Impossibile inviare la richiesta di accesso. Riprova.","⚠️ Kunne ikke sende tilgangsforespørsel. Prøv igjen.","⚠️ Nie udało się wysłać prośby o dostęp. Spróbuj ponownie.","⚠️ 无法发送访问请求。请重试。"
,add_link,,"Add Link","Lägg till länk","Tilføj link","Link hinzufügen","Añadir enlace","Ajouter un lien","Bæta við slóð","Aggiungi link","Legg til lenke","Dodaj link",添加链接
,add_music,,"Add music","Lägg till musik","Tilføj musik","Musik hinzufügen","Añadir música","Ajouter de la musique","Bæta við tónlist","Aggiungi musica","Legg til musikk","Dodaj muzykę",添加音乐
,add_to_last_used,,"Add to","Lägg till i","Tilføj til","Hinzufügen zu","Añadir a","Ajouter à","Bæta við síðasta...","Aggiungi a","Legg til i","Dodaj do",添加到
,add_to_list,,"Add to list...","Lägg till i lista...","Tilføj til liste...","Zur Liste hinzufügen...","Añadir a la lista...","Ajouter à la liste...","Bæta við lista...","Aggiungi alla lista...","Legg til i liste...","Dodaj do listy...",添加到列表...
,add_to_my_lists,,"Add to my lists","Lägg till i mina listor","Tilføj til mine lister","Zu meinen Listen hinzufügen","Añadir a mis listas","Ajouter à mes listes","Bæta við mína lista","Aggiungi alle mie liste","Legg til i mine lister","Dodaj do moich list",添加到我的列表
,all_content,,"All My Content","Allt mitt innehåll","Alt indhold","Alle Inhalte","Todo el contenido","Tout le contenu","Allar mínar skrár","Tutti i contenuti","Alt innhold","Cała zawartość",全部内容
,annotations_cleared,,"Drawings cleared","Ritningar raderade","Tegninger ryddet","Zeichnungen gelöscht","Dibujos eliminados","Dessins effacés","Teikningar hreinsaðar","Disegni eliminati","Tegninger slettet","Rysunki usunięte",绘图已清除
,annotations_saved,,"Drawing saved","Ritning sparad","Tegning gemt","Zeichnung gespeichert","Dibujo guardado","Dessin enregistré","Teikning vistuð","Disegno salvato","Tegning lagret","Rysunek zapisany",绘图已保存
,attach_file,,"Attach File (PDF, MP3, MIDI)","Bifoga fil (PDF, MP3, MIDI)","Vedhæft fil (PDF, MP3, MIDI)","Datei anhängen (PDF, MP3, MIDI)","Adjuntar archivo (PDF, MP3, MIDI)","Joindre un fichier (PDF, MP3, MIDI)","Hengja við skrá (PDF, MP3, MIDI)","Allega file (PDF, MP3, MIDI)","Legg ved fil (PDF, MP3, MIDI)","Dołącz plik (PDF, MP3, MIDI)","附加文件 (PDF, MP3, MIDI)"
,back_to_dashboard,,"Back to Dashboard","Tillbaka till översikten","Tilbage til oversigt","Zurück zum Dashboard","Volver al panel","Retour au tableau de bord","Til baka á yfirlitssíðu","Torna alla dashboard","Tilbake til oversikt","Powrót do panelu",返回仪表板
